text,emotions,emotion_encoded,cleaned_text
i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity,fear,1,always feel pressured make perfect fit audiences gorgeous creativity
i feel helpless,fear,1,feel helpless
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,sadness,4,really nothing talk feeling damn antsy needy lonely
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,sadness,4,feel sometimes lessons boring post buuuuuut dear friend rach new sunday school teacher wanting see ive ill still post lessons
im feeling as if im not caring and i dont want to fail my finals,love,3,im feeling im caring dont want fail finals
i feel you are so delicate now,love,3,feel delicate
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,fear,1,know probably shouldnt write sort angry passion blog never want feel inhibited cannot post
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,fear,1,feel like one trying accomplish everything especially balance extremely distressed world
i started to feel discouraged,sadness,4,started feel discouraged
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,joy,2,think future subcontinent find feeling optimistic despite everything read papers
i feel really free i feel that i can grow wings amp fly,joy,2,feel really free feel grow wings amp fly
i start to feel happy and then i think of how lonely my cat feels,joy,2,start feel happy think lonely cat feels
i feel scared to use headphones,fear,1,feel scared use headphones
i feel so useless in this,sadness,4,feel useless
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,anger,0,feeling dangerous task dancing lightening storm umbrella
i feel rather petty that i just dont have time to have someone talented like christine make it,anger,0,feel rather petty dont time someone talented like christine make
i feel foolish and desperate almost for feeling so strongly about this,sadness,4,feel foolish desperate almost feeling strongly
i feel more irritated than peaceful,anger,0,feel irritated peaceful
i feel troubled lord and i honestly don t know why,sadness,4,feel troubled lord honestly know
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,sadness,4,peruse pages feel dull headache building base skull point kicking bringing dreaded case car sickness
i do feel very successful right now,joy,2,feel successful right
i can only feel sorry for us that the relationship didnt work out,sadness,4,feel sorry us relationship didnt work
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,sadness,4,want express feeling dont know start seriously feel miserable right love friend
i feel distraught worried panicked sick scared sad,fear,1,feel distraught worried panicked sick scared sad
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,sadness,4,id begun feel empty several juices lots water water make feel full long quite good rinsing pie hole putrid flavors id forced upon
i do feel very angered though,anger,0,feel angered though
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,love,3,feel need lend hand loyal promotion greg weismans baby hopes disney day pick back least sell rest series dvd
i watch movies set in the s and s i feel pangs of melancholy,sadness,4,watch movies set feel pangs melancholy
i feel like i am going to throw up or something i hated that site soooo much,sadness,4,feel like going throw something hated site soooo much
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,joy,2,woke saturday feeling little brighter keen get outdoors spending day friday wallowing self pity
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,love,3,eternal hope says arrive bridge finds likes feel fond smile face much hide
i feel and bruise my how was anybody to be punished,sadness,4,feel bruise anybody punished
i woke up even more tired than the night before and feeling groggy,sadness,4,woke even tired night feeling groggy
i feeling irritable,anger,0,feeling irritable
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,sadness,4,feel kinds emotional urges try identify intellectual roots understand better
i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,joy,2,probably mention feeling left lunch celebration top participants take lead speech competition another reason enter competition food delicious conversation amusing
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,joy,2,feel like people appreciative many happiness pinnacle way non materialistic
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,sadness,4,realized goddamn fat ass greedy son bitches made feel humiliated alone ugly
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,joy,2,feel way distracting positive thoughts work really hard switch thoughts around today
i can tell most of the time what shes really feeling and she was being really sincere,joy,2,tell time shes really feeling really sincere
i feel like mike is loyal and will always be loyal,love,3,feel like mike loyal always loyal
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger,0,issues obvious went chinese yesterday feeling hostile towards
i feel like im actually doing somewhat well with it and right now im getting my swing down,joy,2,feel like im actually somewhat well right im getting swing
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,sadness,4,feel punished many thoughtless years assuming trappings success earned given
i feel like i have to dumb myself down in order to communicate effectively,sadness,4,feel like dumb order communicate effectively
i still feel quite loyal in other views on the conservative side,love,3,still feel quite loyal views conservative side
i guess i am just feeling slightly shaken at this sudden news,fear,1,guess feeling slightly shaken sudden news
i still feel funny,surprise,5,still feel funny
im tired of feeling troubled stressed up feeling down and falling sick,sadness,4,im tired feeling troubled stressed feeling falling sick
i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration,anger,0,felt bit bad killing always feels like chore simply distracted exploration
i wont be so sure to feel optimistic about this either,joy,2,wont sure feel optimistic either
i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite,sadness,4,feel bad depressed theres still part wants believe think way feel bad wanting starve opposite
i feel like im worthless,sadness,4,feel like im worthless
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,anger,0,feel much care careeeeee care savage garden three plans tomorrow
i was left feeling a little delicate but thoughtful,love,3,left feeling little delicate thoughtful
i can feel myself agitated now so im going to have to leave work in a sec,anger,0,feel agitated im going leave work sec
after receiving the grade on the paper mentioned in fear,sadness,4,receiving grade paper mentioned fear
i cant help but feel a little jubilant as i walk through the arrivals gate,joy,2,cant help feel little jubilant walk arrivals gate
i thought it might and it makes my hair feel lovely and silky,love,3,thought might makes hair feel lovely silky
i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,sadness,4,could elaborate ww plan gives freedom boundaries without feeling deprived finding nitche moving sweating makes difference nuts bolts day day choices story struggle goes deep core
i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine,sadness,4,imagine would feel hold nothing perverse know feel heat breathe moving feet tangled mine
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,2,felt like boys disadvantaged missing exciting entertainments home children feel like precious opportunity get close familiar nature
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,joy,2,know feeling sincere could tolerate small trouble stand character performance sex life husband wife
i was just yesterday feeling uncomfortable with highschool sigh,fear,1,yesterday feeling uncomfortable highschool sigh
i am already feeling heartbroken and alone again,sadness,4,already feeling heartbroken alone
i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it,joy,2,know want life moment even though things really good stable many ways still feel content
i feel like these were pretty productive days although i couldve cut back on the thinking as usual,joy,2,feel like pretty productive days although couldve cut back thinking usual
i feel angry man named muaz,anger,0,feel angry man named muaz
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,fear,1,love feel totally distressed hopeless put bright eyes record something sudden realization life shit worry
i was abruptly reminded of why i was feeling so agitated in la,fear,1,abruptly reminded feeling agitated la
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,joy,2,feeling amazing mostly normal going pre thanksgiving celebration friends time softball
i feel very peaceful about the whole situation,joy,2,feel peaceful whole situation
i feel invigorated by the,joy,2,feel invigorated
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore,sadness,4,went miles wasnt felt tired noticed bottom parts front pelvic bone feeling numb sore
im getting there but i really do feel dazed and confused at the moment,surprise,5,im getting really feel dazed confused moment
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,fear,1,also like share happiness spreading smile work sometimes feel like people work bit uptight nice add chatter lighten mood
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,anger,0,compere party efforts get show rolling thwarted immobile
i feel so resentful about having to take care of us and not getting to do what i want to do,anger,0,feel resentful take care us getting want
i feel every part of me agitated by the reality of the kingdom walk the talk,anger,0,feel every part agitated reality kingdom walk talk
i have gained lbs back and i feel terrible about it,sadness,4,gained lbs back feel terrible
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,sadness,4,dont say anything dont want cause fuss hate people feel sorry
im feeling so excited and eager,joy,2,im feeling excited eager
i feel really listless right now,sadness,4,feel really listless right
i feel pathetic at times because,sadness,4,feel pathetic times
i feel very discontent right now,sadness,4,feel discontent right
i learned what its truely like to feel and be submissive,sadness,4,learned truely like feel submissive
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,sadness,4,feel pathetic feel like never called bestfriend continued call bff get treated like friend
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,surprise,5,go coeur alene im surrounded feels strange look think people actually nuts
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,sadness,4,wanted write post sure like many us struggling problem feeling deprived isolated restricted program hope realize feel way
i still feel so agitated,anger,0,still feel agitated
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,anger,0,feel dissatisfied matter selfish much make saturday never enough
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic,sadness,4,feel something physically seeing problems hurt stems seems therapeutic
i just like spoiler cuts they make me feel simultaneously badass and considerate,joy,2,like spoiler cuts make feel simultaneously badass considerate
im feeling a little smug too im usually running late for whatever im planning to d,joy,2,im feeling little smug im usually running late whatever im planning
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,joy,2,certainly places feel welcomed made point go place find feeling welcoming
i feel amazed i can compress my difficulty so neatly into one sentence,surprise,5,feel amazed compress difficulty neatly one sentence
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,fear,1,feeling security characters want someone else gets role afraid well
i feel like no other day should be less valuable than another because of a certain event is going to happen,joy,2,feel like day less valuable another certain event going happen
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,anger,0,loathe stuffed animals make feel bit violent known punch
i feel extraordinarily lively,joy,2,feel extraordinarily lively
i still feel incredibly frustrated by it,anger,0,still feel incredibly frustrated
i feel sympathetic toward him he is always suffering through a million responsibilities,love,3,feel sympathetic toward always suffering million responsibilities
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,joy,2,lured idea event promise free champagne know brilliant talk bestselling author kathy lette left feeling genuinely inspired empowered
i feel as i did when i was troubled easily agitated and indecisive,sadness,4,feel troubled easily agitated indecisive
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,sadness,4,feeling sex phobia result sexually abused sister child
i feel content just because of the weather,joy,2,feel content weather
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,sadness,4,tend feel empathtic remorseful guilty even shit part
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,sadness,4,started feel dull cramps lasted two hours thought maybe babies didnt like mexican cray cray favorite
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,love,3,feel like im reliving prequel another jedi queen romantic relationship trying keep secret
i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in,fear,1,work today new job still feels really strange tbh sure soon settle
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,sadness,4,think pretty sure victim feel really unfortunate bobo really pregnant
i feel the echoes of the divine so very close,joy,2,feel echoes divine close
i finished it feeling amazing,joy,2,finished feeling amazing
i feel so bad to have slacked of on my health but now i need to make the time,sadness,4,feel bad slacked health need make time
i feel so special when im wearing this front,joy,2,feel special im wearing front
i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time,sadness,4,totally sympathize everyone speak native english feel like brain damaged five year old whenever try speak japanese length time
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,joy,2,ran upon looking cute saying add address change cards planning ahead feeling positive
i had and not having any lingering feelings nor longing for anyone,love,3,lingering feelings longing anyone
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,1,crappy week still feeling agitated like day wanted
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,joy,2,ive lost lbs january year wicked part feels keen try new clothing tell deserve new clothing
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,fear,1,acknowledge actually fat definition feeling uncomfortable skin
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,sadness,4,quite often get feeling groggy meditating fresh juice feel good new
i am feeling so honoured to be a,joy,2,feeling honoured
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,joy,2,ive feeling demands three beloved males pushing pulling spinning around dance beat drum
i feel like in order to live a compassionate life this is an essential piece of the puzzle for me,love,3,feel like order live compassionate life essential piece puzzle
i still feel the tender touch of a hand in mine,love,3,still feel tender touch hand mine
i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child,sadness,4,learned lesson would never repeat mistake seen real child abuse still feel abused child
i feel so blessed that i am able to leave there,joy,2,feel blessed able leave
i now feel so determined to smash round and really give her something to be proud of,joy,2,feel determined smash round really give something proud
i feel like i cant handle this deployment or that i am miserable,sadness,4,feel like cant handle deployment miserable
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,sadness,4,feel beaten constant anxiety frustration looking word constantly disappointed
i feel like i am not very smart,joy,2,feel like smart
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,anger,0,feel guilt cranky last night fully embrace evening alone boy
i already feel like ive been accepted into the community here,joy,2,already feel like ive accepted community
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,1,confess feeling bit nervous though talented people group
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,anger,0,didnt expected much addicted nicotine ive experienced withdrawal symptoms feeling irritable stressed going mad cravings inability concentrate dry mouth trouble sleeping wake every night
i am wondering if i am feeling brave enough to make them for gifts,joy,2,wondering feeling brave enough make gifts
i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this,fear,1,simply realize master homis knows best feels much going step help tasks perform become distressed
i feel so pissed about myself,anger,0,feel pissed
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,joy,2,wish wake find peace see little kids flying kites catch hope feel taste delicious four letter word give shelter need
i feel that im not talented in baking,joy,2,feel im talented baking
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,fear,1,still feel expect pieces world im afraid come close place expectations upon fear hell disappoint
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,1,managed eat usually race morning mostly jon didnt feel quite nervous
i see jacque i feel extremely guilty because she still hasn t forgiven me,sadness,4,see jacque feel extremely guilty still forgiven
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,anger,0,started feeling rather cranky grumpy ultimately ordinary little facebook flash cousin west meath suddenly pinging bad jokes naughty stories rudolph valentino performing unspeakable acts back forth felt like party
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,anger,0,feel like might engineering hostile situations mean wars missile testing dropping spy planes sky rest overwhelmingly chromosomes bored
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn,sadness,4,come conquerer others feel missed mark perhaps lesson suppose learn
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day,love,3,yearned homey feeling sitting river friends sun hot warming skin wearing jean shorts life perfect day
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,fear,1,set feeling strangely nervous quite weak slowly worked problems soon attempting toughest problems
i feel so divine to be so cared for,joy,2,feel divine cared
im not enjoying winter hate feeling cold and having to dress in so many layers,anger,0,im enjoying winter hate feeling cold dress many layers
i feel like i should have some wine or something i was amused,joy,2,feel like wine something amused
i feel pressured to be the perfect happy woman but it s because i have a hard time letting people in past a certain level so it just is easier to default to happy go lucky which i usually am anyway,fear,1,feel pressured perfect happy woman hard time letting people past certain level easier default happy go lucky usually anyway
i feel innocent and free again,joy,2,feel innocent free
i hate to feel threatened totally,fear,1,hate feel threatened totally
when in a car accident where car was total wipe off wipe out,fear,1,car accident car total wipe wipe
i did not feel disappointed with the performance here,sadness,4,feel disappointed performance
i feel a sense of loss when an extremely talented and passionate engineer who wants to work on certain dsp design eventually takes up a job at a financial number crunching software company only because he did not get the right kind of job,joy,2,feel sense loss extremely talented passionate engineer wants work certain dsp design eventually takes job financial number crunching software company get right kind job
i feel relieved that a rescue party has arrived,joy,2,feel relieved rescue party arrived
i pushed the feeling aside and contented myself with an apple,joy,2,pushed feeling aside contented apple
i expect ou to win but i feel there strongest competition will be a pretty talented and experienced ok state squad,joy,2,expect ou win feel strongest competition pretty talented experienced ok state squad
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,0,feel options violent probably costly yet equally futile whats problem keeping men women harms way
i mention this seemingly obvious little tidbit is that either many of my friends have an innate inability to understand this or they feel hurt and neglected because of it,sadness,4,mention seemingly obvious little tidbit either many friends innate inability understand feel hurt neglected
i am terrified and not feeling terribly keen right now,joy,2,terrified feeling terribly keen right
i feel so alone and im just going out of my mind,sadness,4,feel alone im going mind
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,anger,0,know cynicism involved also know come lessons learned last couple years life feel resentful damaged feel fortunate enough clubbed upside head bigger dose reality
i only need to feel respected and safe,joy,2,need feel respected safe
i almost feel greedy for believing that i want so much,anger,0,almost feel greedy believing want much
i feel unease in my room but our living room is very pleasant for me,joy,2,feel unease room living room pleasant
i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning,joy,2,feel complacent britain immediate rain life would little bit familiar nonetheless memories photos goal work gap year would working early saturday would earning
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,joy,2,felt like losing control body hard feel calm positive irrational thought
i feel you are very charming but do the other people feel very terrible,joy,2,feel charming people feel terrible
i start feeling angry i need to actually stop and figure out what im really feeling so i can deal with life in a more balanced way,anger,0,start feeling angry need actually stop figure im really feeling deal life balanced way
i feel so invigorated when its cold,joy,2,feel invigorated cold
i feel ive been physically uncomfortable for the last months of my life so nothing new there,fear,1,feel ive physically uncomfortable last months life nothing new
i feel more intelligent and strong,joy,2,feel intelligent strong
i feel invigorated and enthusiastic,joy,2,feel invigorated enthusiastic
i see what being unhealthy does and i can feel the weight that i ve gained back and i am pissed that i let some of it creep back on,anger,0,see unhealthy feel weight gained back pissed let creep back
im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me,sadness,4,im overreacting perhaps feeling felt amplified reaction way ignored almost everything ive said class stupid smile tone using rare cases hasnt ignored
i should just leave him be so he could go on his merry way and so i could stop feeling like i was just unimportant to him now,sadness,4,leave could go merry way could stop feeling like unimportant
i needed to feel loved and accepted although i falter,love,3,needed feel loved accepted although falter
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger,0,feel disgusted criminal justice system st century could know full details deny named abusive
i tend to feel humiliated when criticized,sadness,4,tend feel humiliated criticized
i was overwhelmed with joy when i received the acceptance letter to unza this happened again when i passed all my first year courses,joy,2,overwhelmed joy received acceptance letter unza happened passed first year courses
i feel virtuous as ive already done more on it this week than i have for several months,joy,2,feel virtuous ive already done week several months
i feel that when i run i that is me sarah the mind am supporting this body,joy,2,feel run sarah mind supporting body
i will feel the sadness when i am more troubled,sadness,4,feel sadness troubled
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,surprise,5,stared amazed feeling equally amazed nothing else happening
i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr,fear,1,feel excitment reluctant xdd hohoho looking foward tmr xd cya tmr
i took a shower then headed to the bsc loop to meet allies for the trip to the club feeling very triumphant that i had helped in such a marvellous prank,joy,2,took shower headed bsc loop meet allies trip club feeling triumphant helped marvellous prank
i got home feeling miserable at my lack of shopping skillzz i remembered the bag of un opened un used make up sitting in my bedroom that i forgot all about,sadness,4,got home feeling miserable lack shopping skillzz remembered bag un opened un used make sitting bedroom forgot
i honestly feel that im being ignored and left alone,sadness,4,honestly feel im ignored left alone
i guess a lot of her is pretty high even though i can feel her hiccups and im guessing hand and arm movement low,sadness,4,guess lot pretty high even though feel hiccups im guessing hand arm movement low
i feel that im fine without him,joy,2,feel im fine without
i do however feel that some people would not be so shocked right,surprise,5,however feel people would shocked right
i am now feeling the onset of an unpleasant sort of tourist panic,sadness,4,feeling onset unpleasant sort tourist panic
i truly felt that when i left friday you were smiling and feeling i had respected you and you thinking i was a teasing little heathen you loved who enjoys arousing you with an animal delight,joy,2,truly felt left friday smiling feeling respected thinking teasing little heathen loved enjoys arousing animal delight
i feel drastically inadequate for the needs i feel swirling around me,sadness,4,feel drastically inadequate needs feel swirling around
i feel you might be quite amazed if ahead of you begin your diet program you continue to keep a a href http www,surprise,5,feel might quite amazed ahead begin diet program continue keep href http www
i come home feeling drained and paralysed and when i try to study my brain just shuts down and ill end up snoring away on my bed and visiting dreamland,sadness,4,come home feeling drained paralysed try study brain shuts ill end snoring away bed visiting dreamland
i take a look as i try to get used to the feeling of his touch innocent as it is,joy,2,take look try get used feeling touch innocent
i lived her life without the feeling of acceptance she felt as though trouble and misery followed her everywhere she went and that everyone hated her because of it,anger,0,lived life without feeling acceptance felt though trouble misery followed everywhere went everyone hated
i every once in a while feel free,joy,2,every feel free
i feel like in spite of having so many amazing things to be thankful for life is just one big demanding wave after wave and i m being tossed around like a rag doll,surprise,5,feel like spite many amazing things thankful life one big demanding wave wave tossed around like rag doll
i feel instantly glamorous just pulling it out of my handbag and sachaying it about for all to see,joy,2,feel instantly glamorous pulling handbag sachaying see
i feel like if there are pickles in the fridge everything will be ok,joy,2,feel like pickles fridge everything ok
i hope you all make the time to play along i have a feeling this sketch will be a popular one,joy,2,hope make time play along feeling sketch popular one
im sure this silly little blog is ridiculous but sometimes i just feel so aggravated,anger,0,im sure silly little blog ridiculous sometimes feel aggravated
i hope you enjoy reading and please feel free to leave comments,joy,2,hope enjoy reading please feel free leave comments
i always feel humiliated,sadness,4,always feel humiliated
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,joy,2,name opening passages saying may strike reader rather singular far fetched may feel assured means far fetched circumstances would impossible give name
i feel too overwhelmed to clean anything so i just let it all pile up until it makes my whole life feel like it is going to come crashing down around me and i am helpless to stop it,surprise,5,feel overwhelmed clean anything let pile makes whole life feel like going come crashing around helpless stop
i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on,surprise,5,feel one thing enjoyed tv people time shocked kenny powers time let go love later
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,joy,2,see lot older son angry god father giving want even though feel pretty faithful though screwed plenty
i feel i can rely on my instincts more than my intellect but im starting to doubt whether my intuition is as keen as it should be,joy,2,feel rely instincts intellect im starting doubt whether intuition keen
i feel so doomed all the time,sadness,4,feel doomed time
i remember just knowing you were crazy in love with me without a shadow of a doubt and you made me feel gorgeous always,joy,2,remember knowing crazy love without shadow doubt made feel gorgeous always
i feel so foolish i admitted,sadness,4,feel foolish admitted
i was feeling quite nervous,fear,1,feeling quite nervous
i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,fear,1,want tell im feeling dont know start want tell everything im afraid youll break heart would something easy hard
i guess she has opened up and known him longer but i cant help feeling a little ignored,sadness,4,guess opened known longer cant help feeling little ignored
i feel very giggly and upbeat even though i feel like i should probably be morose and sombre,joy,2,feel giggly upbeat even though feel like probably morose sombre
i feel so neglectful of my new followers but all i care about is that it s cat stevens b day,sadness,4,feel neglectful new followers care cat stevens b day
i am tired of feeling awful,sadness,4,tired feeling awful
i have the feeling i am going to be tortured tonight,fear,1,feeling going tortured tonight
i hate when i feel stupid because i dont know these things already,sadness,4,hate feel stupid dont know things already
i am on this track i feel good things coming,joy,2,track feel good things coming
i go to the gym i can t even get my heart rate high enough to feel satisfied thanks to the level of competition i ve experienced in the past couple of years,joy,2,go gym even get heart rate high enough feel satisfied thanks level competition experienced past couple years
i feel like i should be thrilled and i am but at the same time i feel like crap,joy,2,feel like thrilled time feel like crap
i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away,joy,2,know afterward feel hell lot mellow amp relaxed merely laughing stress dumps melts away
i remember when this was all feels the most generous place for charitable donations in the uk is andover thats the last sodding time im having dinner here at the nuclear plant staff canteen,joy,2,remember feels generous place charitable donations uk andover thats last sodding time im dinner nuclear plant staff canteen
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,2,didnt feel safe room argument going room things getting rough
i feel funny about mothers day,surprise,5,feel funny mothers day
i have been feeling restless and not quite grounded,fear,1,feeling restless quite grounded
i feel like most books will contain some kind of romantic undercurrent and while this one did it was a lot more subtle than other books are about it,love,3,feel like books contain kind romantic undercurrent one lot subtle books
i often feel like a child here i speak the language like a child i generally walk around the town confused like a child i have child like relationships with most of the natives and my knowledge of the area and culture is equivalent to a childs,fear,1,often feel like child speak language like child generally walk around town confused like child child like relationships natives knowledge area culture equivalent childs
i was able to identify the speed in which f could get work done without feeling burdened by the work load,sadness,4,able identify speed f could get work done without feeling burdened work load
i should do but i think it means that i should always be open to opportunities of inviting and involving others in ministries and that i should be creative in finding ways for others to participate in and feel welcomed into such ministries,joy,2,think means always open opportunities inviting involving others ministries creative finding ways others participate feel welcomed ministries
i feel like its an excuse for being boring as an individual or lack of confidence in your individuality,sadness,4,feel like excuse boring individual lack confidence individuality
i take lightly but if youre like me you re probably feeling a little skeptical of product that is being sold on the internet as the way to become successful online,fear,1,take lightly youre like probably feeling little skeptical product sold internet way become successful online
i feel a little abused about this whole situation,sadness,4,feel little abused whole situation
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,anger,0,feel disgusted cant tolerated actions anymore writing post
im feeling so emotional today,sadness,4,im feeling emotional today
i feel remorseful for my fellow teachers having to go back to work tomorrow,sadness,4,feel remorseful fellow teachers go back work tomorrow
i don t feel victimized,sadness,4,feel victimized
i do not feel bad about it,sadness,4,feel bad
